1	4	59	96	71	50	280	56.0
2	26	61	90	20	75	272	54.4
3	50	21	54	43	30	198	39.6
4	47	75	11	8	61	202	40.4
5	9	97	55	92	49	302	60.4
6	40	98	28	41	76	283	56.6
7	100	55	11	79	58	303	60.6
8	23	80	4	50	88	245	49.0
9	2	75	72	30	66	245	49.0
10	21	37	36	38	22	154	30.8
11	11	17	38	69	52	187	37.4
12	76	11	69	14	99	269	53.8
13	10	95	71	44	11	231	46.2
14	43	11	25	45	36	160	32.0
15	95	42	49	90	95	371	74.2
16	1	36	39	65	66	207	41.4
17	7	11	64	61	58	201	40.2
18	9	90	34	13	33	179	35.8
19	49	63	93	75	93	373	74.6
20	41	94	66	60	33	294	58.8
